Year,Nutrient,Total,FAFH_Intake
1977-1978,Calcium,763.7682352941176,129.44074486505193
1977-1978,Carbohydrate,204.6623529411765,35.086350671280286
1977-1978,Cholesterol,329.77941176470586,56.54358996539792
1977-1978,Energy,1814.7199999999998,319.23059764705886
1977-1978,"Fatty acids, monounsaturated",28.21764705882353,5.1741205536332195
1977-1978,"Fatty acids, polyunsaturated",13.264705882352942,2.342781141868512
1977-1978,"Fiber, dietary",12.926470588235293,2.1475429930795844
1977-1978,Iron,13.17764705882353,2.1250118615916955
1977-1978,Protein,78.91411764705882,13.710631640138407
1977-1978,Saturated fatty acids,26.13058823529412,4.782973612456748
1977-1978,Sodium,3217.0,553.6457
1977-1978,Total Fat,75.78588235294119,13.816657951557094
1989-1991,Calcium,755.2155,171.5585290575
1989-1991,Carbohydrate,223.329,52.13838834
1989-1991,Cholesterol,258.614,66.73534269999999
1989-1991,Energy,1824.9825,448.42557498750006
1989-1991,"Fatty acids, monounsaturated",26.725,7.120876250000001
1989-1991,"Fatty acids, polyunsaturated",13.670499999999999,3.5746306925
1989-1991,"Fiber, dietary",13.883000000000001,3.261602605
1989-1991,Iron,13.934999999999999,3.1780857749999996
1989-1991,Protein,73.4625,18.2543293125
1989-1991,Saturated fatty acids,23.567500000000003,6.0600291125000005
1989-1991,Sodium,3283.8115,807.2593810449999
1989-1991,Total Fat,71.329,18.622575319999996
1994-1998,Calcium,786.3585,215.98122561000002
1994-1998,Carbohydrate,256.321,69.43223248000001
1994-1998,Cholesterol,262.1245,82.7723639875
1994-1998,Energy,2002.2375,582.5510006249999
1994-1998,"Fatty acids, monounsaturated",28.4745,9.164802569999999
1994-1998,"Fatty acids, polyunsaturated",14.579500000000001,4.55813488
1994-1998,"Fiber, dietary",15.196000000000002,4.2921102
1994-1998,Iron,15.271,4.17478598
1994-1998,Protein,75.591,22.904450954999994
1994-1998,Saturated fatty acids,25.371000000000002,8.011273815000001
1994-1998,Sodium,3488.5555,1044.3165317025
1994-1998,Total Fat,74.19800000000001,23.504813430000002
2003-2004,Calcium,897.4514999999999,252.59669918999995
2003-2004,Carbohydrate,271.865,75.253591325
2003-2004,Cholesterol,271.38800000000003,94.63978030000001
2003-2004,Energy,2163.333,660.7143481949998
2003-2004,"Fatty acids, monounsaturated",30.383,10.555813774999999
2003-2004,"Fatty acids, polyunsaturated",16.8295,5.731202077500001
2003-2004,"Fiber, dietary",14.641,4.413163425
2003-2004,Iron,15.477500000000001,4.586757125
2003-2004,Protein,79.2935,26.46975617
2003-2004,Saturated fatty acids,27.041500000000003,8.95452231
2003-2004,Sodium,3485.2915000000003,1161.9439067275
2003-2004,Total Fat,81.012,27.456587040000006
2005-2006,Calcium,940.5674999999999,277.8013139625
2005-2006,Carbohydrate,262.325,74.44390012499998
2005-2006,Cholesterol,274.1085,97.80876551249999
2005-2006,Energy,2119.466,658.094193
2005-2006,"Fatty acids, monounsaturated",29.4955,10.3282917575
2005-2006,"Fatty acids, polyunsaturated",16.57,5.821952350000001
2005-2006,"Fiber, dietary",14.849,4.542828815
2005-2006,Iron,15.6,4.679142
2005-2006,Protein,79.97200000000001,27.00814384
2005-2006,Saturated fatty acids,27.186,9.13803018
2005-2006,Sodium,3505.5389999999998,1216.2642837449998
2005-2006,Total Fat,80.098,27.512461530000003
2007-2008,Calcium,923.2975,264.8248054375
2007-2008,Carbohydrate,253.129,67.84236893499998
2007-2008,Cholesterol,272.7265,94.764276955
2007-2008,Energy,2031.136,604.68949856
2007-2008,"Fatty acids, monounsaturated",28.1255,9.509512805
2007-2008,"Fatty acids, polyunsaturated",16.018,5.39109817
2007-2008,"Fiber, dietary",14.915000000000001,4.331465150000001
2007-2008,Iron,14.5285,4.14498105
2007-2008,Protein,76.5795,24.925095659999997
2007-2008,Saturated fatty acids,25.691000000000003,8.434997575
2007-2008,Sodium,3412.3795,1138.7963486375002
2007-2008,Total Fat,76.4855,25.458581102500002
2009-2010,Calcium,1004.5619999999999,265.34500668
2009-2010,Carbohydrate,257.834,66.16020440000001
2009-2010,Cholesterol,259.21950000000004,81.83430005250001
2009-2010,Energy,2053.2974999999997,574.5434399624999
2009-2010,"Fatty acids, monounsaturated",27.044999999999998,8.4050451
2009-2010,"Fatty acids, polyunsaturated",16.534,5.20209242
2009-2010,"Fiber, dietary",15.9635,4.2973742
2009-2010,Iron,14.761500000000002,3.9334230974999995
2009-2010,Protein,78.41850000000001,23.395375289999997
2009-2010,Saturated fatty acids,25.026,7.59714282
2009-2010,Sodium,3421.3379999999997,1070.878794
2009-2010,Total Fat,75.441,23.288636699999998
2011-2012,Calcium,989.24,315.36971200000005
2011-2012,Carbohydrate,263.52750000000003,80.14266566250002
2011-2012,Cholesterol,266.063,99.663208855
2011-2012,Energy,2106.0299999999997,686.7763829999999
2011-2012,"Fatty acids, monounsaturated",27.889499999999998,9.863121674999999
2011-2012,"Fatty acids, polyunsaturated",18.5355,6.524310644999999
2011-2012,"Fiber, dietary",16.857,5.27910669
2011-2012,Iron,15.185999999999998,4.71092499
2011-2012,Protein,78.78,27.402047400000004
2011-2012,Saturated fatty acids,25.631,9.11874087
2011-2012,Sodium,3437.7879999999996,1235.7988413
2011-2012,Total Fat,78.4715,27.806376025000002
2013-2014,Calcium,961.131,302.77548762
2013-2014,Carbohydrate,251.2135,75.743382385
2013-2014,Cholesterol,274.6445,99.731657285
2013-2014,Energy,2060.27,665.4260046
2013-2014,"Fatty acids, monounsaturated",27.169999999999998,9.4584204
2013-2014,"Fatty acids, polyunsaturated",18.3285,6.504967935
2013-2014,"Fiber, dietary",16.159,4.99523167
2013-2014,Iron,14.326500000000001,4.443077445
2013-2014,Protein,79.2145,27.3254378475
2013-2014,Saturated fatty acids,25.8935,8.964977037499999
2013-2014,Sodium,3374.5815000000002,1209.1631701725
2013-2014,Total Fat,78.8955,27.4749633975
2015-2016,Calcium,938.2545,289.78928487
2015-2016,Carbohydrate,243.0045,71.7482936475
2015-2016,Cholesterol,279.866,97.63405275999999
2015-2016,Energy,2026.9299999999998,635.24999665
2015-2016,"Fatty acids, monounsaturated",27.9125,9.3737153125
2015-2016,"Fatty acids, polyunsaturated",18.216,6.235063560000001
2015-2016,"Fiber, dietary",16.2545,4.9283644
2015-2016,Iron,13.9065,4.1825884725
2015-2016,Protein,77.66,25.723710099999998
2015-2016,Saturated fatty acids,26.663999999999998,8.933373239999998
2015-2016,Sodium,3371.8089999999997,1173.8615852599999
2015-2016,Total Fat,80.116,26.924183539999994
2017-2018,Calcium,954.3905000000001,290.7407499675
2017-2018,Carbohydrate,247.31550000000001,72.64769154750002
2017-2018,Cholesterol,283.79699999999997,99.22252612499997
2017-2018,Energy,2074.6275,646.474675275
2017-2018,"Fatty acids, monounsaturated",28.397,9.555732485
2017-2018,"Fatty acids, polyunsaturated",19.556,6.737042000000001
2017-2018,"Fiber, dietary",16.1335,4.9594379
2017-2018,Iron,13.933000000000002,4.21138858
2017-2018,Protein,77.2295,25.6907793225
2017-2018,Saturated fatty acids,27.6135,9.238648695
2017-2018,Sodium,3348.3284999999996,1163.9794364549998
2017-2018,Total Fat,83.7505,28.114205345000006
