Chain,Milestone,Year
McDonalds,100,1940
McDonalds,500,1963
McDonalds,1000,1968
McDonalds,2000,1972
McDonalds,3000,1974
McDonalds,5000,1978
McDonalds,10000,1988
McDonalds,40000,2023
KFC,100,1930
KFC,500,1963
KFC,3000,1970
KFC,5000,1983
KFC,10000,1995
KFC,30000,2023
Burger King,100,1953
Burger King,100,1970
Burger King,2000,1977
Burger King,3000,1982
Burger King,5000,1989
Burger King,10000,1998
Burger King,20000,2023
Dunkin Donuts,100,1948
Dunkin Donuts,100,1965
Dunkin Donuts,1000,1979
Dunkin Donuts,2000,1990
Dunkin Donuts,3000,1992
Dunkin Donuts,5000,2002
Dunkin Donuts,10000,2011
Dunkin Donuts,13200,2023
Starbucks,100,1991
Starbucks,500,1995
Starbucks,1000,1996
Starbucks,2000,1999
Starbucks,3000,2000
Starbucks,5000,2002
Starbucks,10000,2005
Starbucks,38000,2023
Pizza Hut,1000,1972
Pizza Hut,2000,1976
Pizza Hut,3000,1977
Pizza Hut,5000,1986
Pizza Hut,10000,1994
Pizza Hut,19900,2023
Taco Bell,100,1967
Taco Bell,2000,1985
Taco Bell,3000,1990
Taco Bell,5000,2010
Taco Bell,8200,2023
Subway,100,1978
Subway,500,1985
Subway,1000,1987
Subway,2000,1988
Subway,5000,1990
Subway,10000,1998
Subway,37000,2023
Dominos,100,1960
Dominos,1000,1983
Dominos,2000,1985
Dominos,5000,1989
Dominos,10000,2012
Dominos,19800,2023
Hunt Brothers Pizza,750,1994
Hunt Brothers Pizza,5000,2015
Hunt Brothers Pizza,9500,2023
Dairy Queen,100,1947
Dairy Queen,1000,1950
Dairy Queen,2000,1955
Dairy Queen,5000,1996
Dairy Queen,7000,2023
Wendys,100,1975
Wendys,500,1976
Wendys,1000,1978
Wendys,2000,1980
Wendys,3000,1985
Wendys,5000,1997
Wendys,7000,2023
Baskin Robbins,100,1960
Baskin Robbins,500,1967
Baskin Robbins,1000,1979
Baskin Robbins,5000,2000
Baskin Robbins,8000,2023
Hardees,2000,1980
Hardees,3000,1997
Hardees,5800,2022
Papa Johns Pizza,500,1994
Papa Johns Pizza,1000,1996
Papa Johns Pizza,2000,1999
Papa Johns Pizza,3000,2001
Papa Johns Pizza,5000,2017
Papa Johns Pizza,5400,2022
Little Caesars,500,1984
Little Caesars,1000,1986
Little Caesars,2000,1997
Little Caesars,5000,2017
Little Caesars,5300,2023 
